title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
Guys with Kids,US,en,tvSeries,Guys with Kids,2012,Comedy,6.3,4257,0.0
Massacre County,US,en,movie,Massacre County,2015,"Crime,Horror,Mystery",5.3,230,0.0
Refuge,GB,en,movie,Refuge,2013,Thriller,5.0,471,0.0
Refuge,US,en,movie,Refuge,2013,Thriller,5.0,471,0.0
New World OrdeRx,US,en,movie,New World OrdeRx,2013,"Drama,Sci-Fi",2.3,240,0.0
In the Shadows,GB,en,movie,In the Shadows,2017,"Drama,Thriller",7.0,394,0.0
Cry Wolf 3D,GB,en,movie,Crying Wolf 3D,2015,"Action,Comedy,Horror",2.5,210,0.0
The Convent,GB,en,movie,The Crypt,2014,Horror,3.1,100,0.0
It Is Not Evening Yet,GB,en,movie,Eshchyo ne vecher,1975,Drama,6.4,8,0.0
Dirty Weekend,US,en,movie,Dirty Weekend,2013,Comedy,5.8,109,0.0
Epic Fail,US,en,tvSeries,Failosophy,2013,"Comedy,Reality-TV",4.9,15,0.0
The Heights,US,en,tvSeries,Washington Heights,2013,Reality-TV,6.4,74,0.0
The History of Hacking,US,en,movie,Secret History of Hacking,2001,Documentary,7.7,71,0.0
Fast N' Loud,US,en,tvSeries,Fast N' Loud,2012,Reality-TV,7.5,2388,0.0
Reality,US,en,movie,Reality,2014,Comedy,6.9,4975,0.0
Dead End,GB,en,movie,Hard Shoulder,2012,"Horror,Thriller",3.6,320,0.0
20 Feet from Stardom,US,en,movie,20 Feet from Stardom,2013,"Biography,Documentary,Music",7.4,11925,0.0
Jimi: All Is by My Side,US,en,movie,Jimi: All Is by My Side,2013,"Biography,Drama,Music",5.7,6097,0.0
Troop Zero,US,en,movie,Troop Zero,2019,"Comedy,Drama,Family",6.9,6058,0.0
The Beginning of the End,US,en,movie,Revelation Road: The Beginning of the End,2013,Action,4.9,1722,0.0
The Buddhas of Aynak,US,en,movie,Saving Mes Aynak,2014,Documentary,9.2,1001,0.0
Griffith Park 8,US,en,movie,Abducted,2013,"Horror,Sci-Fi,Thriller",4.5,476,0.0
Wendy,US,en,movie,Wendy,2020,"Drama,Fantasy",5.6,1092,0.0
Child,US,en,movie,The Boy,2015,"Drama,Horror,Thriller",5.5,4485,0.0
Isn't It Romantic,US,en,movie,Isn't It Romantic,2019,"Comedy,Fantasy,Romance",5.9,58118,0.0
The Fundamentals of Caring,US,en,movie,The Fundamentals of Caring,2016,"Comedy,Drama",7.3,53900,0.0
c2c,US,en,movie,Cam2Cam,2014,"Horror,Thriller",3.7,769,0.0
On the Art of War,US,en,movie,On the Art of War,2012,"Documentary,Drama,Thriller",8.8,8,0.0
Raiders of the Lost Past,GB,en,tvSeries,Myth Hunters,2012,"Biography,Documentary,History",7.2,193,0.0
The Frames Dancing with Strangers,GB,en,movie,The Frames in the Deep Shade,2013,"Documentary,Music",8.1,31,0.0
Pussy Riot: A Punk Prayer,GB,en,movie,Pussy Riot: A Punk Prayer,2013,"Biography,Crime,Documentary",7.0,1833,0.0
"Extremely Wicked, Shockingly Evil and Vile",US,en,movie,"Extremely Wicked, Shockingly Evil and Vile",2019,"Biography,Crime,Drama",6.6,69230,0.0
Common People,GB,en,tvSeries,Common Ground,2013,"Comedy,Short",7.4,45,0.0
The Square,GB,en,movie,The Square,2013,"Documentary,News",8.1,8360,0.0
Undiscovered Gyrl,US,en,movie,Ask Me Anything,2014,Drama,6.0,11196,0.0
Love Letter,US,en,movie,Suicide for Beginners,2018,"Comedy,Horror",5.1,9,0.0
An Evergreen Christmas,US,en,movie,An Evergreen Christmas,2014,"Family,Music,Romance",5.7,350,0.0
Brave Miss World,US,en,movie,Brave Miss World,2013,"Biography,Documentary,Drama",7.1,485,0.0
One Direction 3D Movie,US,en,movie,One Direction: This Is Us,2013,"Documentary,Music",4.2,23206,0.0
Transylvanian Curse,US,en,movie,Transylvanian Curse,2015,"Horror,Thriller",3.4,411,0.0
Star Wars: Episode VIII - The Last Jedi,US,en,movie,Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy",7.0,538915,0.0
Gadget Man,GB,en,tvSeries,Gadget Man,2012,Talk-Show,7.6,630,0.0
Haunting of Cellblock 11,US,en,movie,Haunting of Cellblock 11,2014,"Horror,Thriller",4.4,711,0.0
God Particle,US,en,movie,The Cloverfield Paradox,2018,"Adventure,Drama,Horror",5.5,90780,0.0
Untitled Bernie Madoff Project,US,en,movie,In God We Trust,2013,Documentary,7.6,23,0.0
Tyler Perry's A Madea Christmas,US,en,movie,A Madea Christmas,2013,"Comedy,Drama,Romance",4.8,5707,0.0
Alligator Alley,US,en,movie,Alligator Alley,2013,"Action,Adventure,Comedy",3.5,698,0.0
A Life in Dirty Movies,US,en,movie,A Life in Dirty Movies,2013,"Biography,Documentary",6.6,465,0.0
"Crouching Tiger, Hidden Dragon: The Green Legend",US,en,movie,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,"Action,Adventure,Drama",6.1,16967,0.0
Infestation: Day One,US,en,movie,Infestation: Day One,2013,"Horror,Sci-Fi,Thriller",5.5,118,0.0
The Chaperone,US,en,movie,The Chaperone,2018,Drama,6.5,980,0.0
The Debt,US,en,movie,The Debt,2015,"Drama,Mystery,Thriller",6.0,647,0.0
Cathedrals of Culture: Centre Georges Pompidou,US,en,movie,Cathedrals of Culture,2014,Documentary,7.0,206,0.0
Hide & Seek,GB,en,movie,Amorous,2014,"Drama,Romance",4.5,886,0.0
Tyler Perry's The Haves and the Have Nots,US,en,tvSeries,The Haves and the Have Nots,2013,"Crime,Drama,Mystery",6.0,2739,0.0
Fifi Howls from Happiness,US,en,movie,Fifi Howls from Happiness,2013,Documentary,7.8,373,0.0
Available: A Modern Day Fairy Tale,US,en,movie,Available: A Modern Day Fairy Tale,2013,"Comedy,Drama,Romance",5.6,53,0.0
Gay Acres: The Home Movie,US,en,movie,Two: The Story of Roman & Nyro,2013,"Biography,Documentary,Drama",7.1,37,0.0
Ploey,US,en,movie,Ploey,2018,"Adventure,Animation,Family",5.4,828,0.0
Finally Famous,US,en,movie,Top Five,2014,"Comedy,Romance",6.4,25338,0.0
Untitled Once Upon a Time Spin-off Project,US,en,tvSeries,Once Upon a Time in Wonderland,2013,"Adventure,Drama,Fantasy",7.0,11127,0.0
Blue Boy,US,en,movie,Blue Boy,2011,"Family,Romance",8.4,22,0.0
False Colors,US,en,movie,False Colors,2020,Thriller,4.8,117,0.0
Tibetan Rock Dog,US,en,movie,Rock Dog,2016,"Adventure,Animation,Comedy",5.9,4347,0.0
3 Hearts,US,en,movie,3 Hearts,2014,"Drama,Romance",5.9,2179,0.0
The Girl,US,en,movie,The Girl,2016,"Sci-Fi,Thriller",3.2,196,0.0
The Old Man & the Gun,US,en,movie,The Old Man & the Gun,2018,"Biography,Comedy,Crime",6.7,37146,0.0
64 Day Hero: A Boxer's Tale,GB,en,movie,64 Day Hero,1986,Documentary,7.2,22,0.0
Sailor Victory,US,en,tvSeries,Sailor Victory,1995,"Animation,Comedy,Sci-Fi",5.2,13,0.0
ZK: Elephant's Graveyard,US,en,movie,ZK: Elephant's Graveyard,2015,Horror,2.8,407,0.0
ABCs of Death 2,US,en,movie,ABCs of Death 2,2014,"Comedy,Fantasy,Horror",5.4,7737,0.0
5 Flights Up,US,en,movie,5 Flights Up,2014,"Comedy,Drama",6.2,8829,0.0
Money Is Money,US,en,movie,Money,2017,Thriller,6.6,263,0.0
Money's Money,US,en,movie,Money,2017,Thriller,6.6,263,0.0
I Lived,US,en,movie,I Lived,2015,"Horror,Mystery,Thriller",4.5,761,0.0
Exile,US,en,movie,Exile,2014,"Drama,Horror,Sci-Fi",4.2,223,0.0
Stroke City,GB,en,movie,A City Dreaming,2014,Documentary,8.8,9,0.0
The Divine Matrix with Gregg Braden,US,en,movie,The Divine Matrix,2008,Documentary,8.0,5,0.0
2101,US,en,movie,2101,2014,"Action,Adventure,Sci-Fi",2.1,251,0.0
Lego Star Wars: The Yoda Chronicles,US,en,tvSeries,Lego Star Wars: The Yoda Chronicles,2013,"Animation,Family,Fantasy",7.4,402,0.0
Panic 5 Bravo,US,en,movie,Panic 5 Bravo,2013,Thriller,4.5,229,0.0
Of Mind and Music,US,en,movie,Of Mind and Music,2014,"Drama,Music",6.8,355,0.0
Grace: The Possession,US,en,movie,Grace: The Possession,2014,"Horror,Thriller",4.7,2257,0.0
Hollywood Help,US,en,tvSeries,Hollywood Help,2013,Comedy,5.8,26,0.0
Gennadiy,US,en,movie,Almost Holy,2015,"Biography,Documentary,Drama",7.5,442,0.0
My Sister,GB,en,movie,Sister,2014,"Drama,Family",6.7,273,0.0
"You Belong to Me: Sex, Race and Murder in the South",US,en,movie,"You Belong to Me: Sex, Race and Murder in the South",2014,"Crime,Documentary,Drama",6.7,110,0.0
In Real Life,GB,en,movie,InRealLife,2013,"Documentary,News",5.8,241,0.0
Girl Lost,US,en,movie,Girl Lost,2016,Drama,7.0,3797,0.0
Sierra Burgess Is a Loser,US,en,movie,Sierra Burgess Is a Loser,2018,"Comedy,Drama,Romance",5.8,32340,0.0
Donna Leon's Comissarrio Guido Brunetti Mysteries: Vendetta,US,en,movie,Comissarrio Guido Brunetti Mysteries: Vendetta,2007,Crime,7.8,19,0.0
Sex School,US,en,movie,Sex School,2015,Comedy,3.2,524,0.0
The Spectacle,US,en,movie,Spectacle,2015,"Comedy,Drama,Romance",7.3,21932,0.0
Bunker: Project 12,US,en,movie,Bunker: Project 12,2016,"Action,Adventure,Sci-Fi",3.4,325,0.0
Fantastic Beasts and Where to Find Them,GB,en,movie,Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy",7.3,392274,0.0
The Stone Boy,US,en,movie,The Stone Boy,2015,"Adventure,Animation,Comedy",4.7,65,0.0
Guy Bodart's All Hallows Eve,US,en,movie,The Curse of All Hallows' Eve,2017,Horror,5.1,8,0.0
All Hallows Eve,US,en,movie,The Curse of All Hallows' Eve,2017,Horror,5.1,8,0.0
Samad Goes to War,US,en,movie,Samad Goes to War,1986,Drama,5.1,27,0.0
IO,US,en,movie,IO,2019,"Adventure,Drama,Romance",4.7,28939,0.0
Radioactive Wolves,US,en,movie,Radioactive Wolves,2011,Documentary,7.1,55,0.0
Across the Sea,US,en,movie,Across the Sea,2014,"Comedy,Drama,Romance",6.3,629,0.0
Friend 2,US,en,movie,Friend 2,2013,"Action,Drama",6.2,490,0.0
The Man with the Iron Heart,US,en,movie,The Man with the Iron Heart,2017,"Action,Biography,Thriller",6.4,12880,0.0
The Devotion of Suspect X,US,en,movie,The Devotion of Suspect X,2017,"Crime,Thriller",6.2,678,0.0
Wealthy,GB,en,movie,Raees,2017,"Action,Crime,Drama",6.8,38678,0.0
Wealthy,US,en,movie,Raees,2017,"Action,Crime,Drama",6.8,38678,0.0
Searching for Saris,GB,en,movie,Bahthan an Saris,2013,Documentary,8.0,10,0.0
A Monster Calls,GB,en,movie,A Monster Calls,2016,"Adventure,Drama,Family",7.5,77274,0.0
The First Line,US,en,movie,The First Line,2014,Drama,5.1,224,0.0
UEFA Champions League Magazine,GB,en,tvSeries,UEFA Champions League Magazine,2006,Sport,8.2,73,0.0
Manhunt,US,en,tvSeries,Manhunt,2014,Reality-TV,7.9,278,0.0
SK1,US,en,movie,SK1,2014,"Crime,Drama",6.6,1935,0.0
Dollface,US,en,movie,Dollface,2014,Horror,3.2,345,0.0
Farewell,US,en,movie,Farewell,2014,Drama,7.5,92,0.0
Axel: The Biggest Little Hero,US,en,movie,Axel: The Biggest Little Hero,2013,"Adventure,Animation,Comedy",4.7,127,0.0
Meateaters,US,en,movie,Jurassic Prey,2015,"Action,Adventure,Comedy",1.7,634,0.0
The Gift,GB,en,movie,The Gift,2014,"Action,Drama,Thriller",7.2,452,0.0
Boundaries,US,en,movie,Boundaries,2016,Drama,6.5,197,0.0
Street Genius,GB,en,tvSeries,Street Genius,2013,Game-Show,7.4,284,0.0
Thor: Ragnarok,US,en,movie,Thor: Ragnarok,2017,"Action,Adventure,Comedy",7.9,551474,0.0
Celebrity Page,US,en,tvSeries,Celebrity Page,2013,"News,Talk-Show",3.3,101,0.0
The Last Shaman,GB,en,movie,The Last Shaman,2016,"Adventure,Documentary,Drama",6.8,978,0.0
Best of Enemies: Buckley vs. Vidal,US,en,movie,Best of Enemies: Buckley vs. Vidal,2015,"Biography,Documentary,History",7.6,5741,0.0
#Horror,US,en,movie,#Horror,2015,"Crime,Drama,Horror",3.0,3325,0.0
The Operative,US,en,movie,The Operative,2015,"Crime,Drama,Thriller",5.5,433,0.0
Correspondence,US,en,movie,Correspondence,2016,"Drama,Romance",6.1,3748,0.0
Correspondence,GB,en,movie,Correspondence,2016,"Drama,Romance",6.1,3748,0.0
American Poltergeist 3,US,en,movie,American Poltergeist 3,2015,Horror,3.1,245,0.0
Odyssey,GB,en,tvSeries,American Odyssey,2015,"Action,Drama,Thriller",7.3,5856,0.0
Untitled Shane Dawson Movie,US,en,movie,Not Cool,2014,"Comedy,Drama,Romance",4.2,5242,0.0
A.K.A Nadia,GB,en,movie,A.K.A Nadia,2015,Drama,6.4,58,0.0
Bella and the Bullfrogs,US,en,tvSeries,Bella and the Bulldogs,2015,"Comedy,Family,Sport",5.2,1332,0.0
Whispers of the Cities,GB,en,movie,Whispers of the Cities,2013,Documentary,6.5,6,0.0
The Evermoor Chronicles,GB,en,tvSeries,The Evermoor Chronicles,2014,"Adventure,Family,Fantasy",6.0,475,0.0
Pull,US,en,movie,Pull,2019,"Horror,Mystery,Thriller",2.3,103,0.0
Spanish Chainsaw Massacre,US,en,movie,Spanish Chainsaw Massacre,2017,"Comedy,Horror",4.6,48,0.0
Wicked Flying Monkeys,GB,en,movie,Guardians of Oz,2015,"Adventure,Animation,Fantasy",4.5,210,0.0
Guardians of Oz,US,en,movie,Guardians of Oz,2015,"Adventure,Animation,Fantasy",4.5,210,0.0
Your Inner Fish,US,en,tvSeries,Your Inner Fish,2014,Documentary,8.7,331,0.0
Lauda: The Untold Story,GB,en,movie,33 Days,2014,"Biography,Documentary",6.3,179,0.0
St. James Place,US,en,movie,Bridge of Spies,2015,"Drama,History,Thriller",7.6,277024,0.0
Blood in the Water,US,en,movie,Blood in the Water,2016,"Crime,Mystery,Thriller",4.3,661,0.0
Little Horror Movie,US,en,movie,Little Horror Movie,2018,Horror,5.8,3024,0.0
Love Me,GB,en,tvSeries,Love Me,2014,"Comedy,Drama,Romance",8.0,24,0.0
The Divorce Party,US,en,movie,The Divorce Party,2019,"Comedy,Romance",5.0,475,0.0
Unfriended,US,en,movie,Unfriended,2014,"Horror,Mystery,Thriller",5.5,65700,0.0
Underworld: Blood Wars,US,en,movie,Underworld: Blood Wars,2016,"Action,Adventure,Fantasy",5.8,67022,0.0
Rogue One: A Star Wars Story,US,en,movie,Rogue One: A Star Wars Story,2016,"Action,Adventure,Sci-Fi",7.8,530496,0.0
Chasing the Muse,US,en,movie,Chasing the Muse,2014,Documentary,4.6,76,0.0
Big Time Adolescence,US,en,movie,Big Time Adolescence,2019,Comedy,7.0,3271,0.0
No Exit,US,en,movie,Only the Brave,2017,"Action,Biography,Drama",7.6,53202,0.0
Do You Mind?,US,en,tvSeries,Do You Mind?,2014,Comedy,7.7,9,0.0
Dumbo,US,en,movie,Dumbo,2019,"Adventure,Family,Fantasy",6.3,60068,0.0
The Seven Deadly Sins,US,en,tvSeries,The Seven Deadly Sins,2014,"Action,Adventure,Animation",8.1,18208,0.0
4th Man Out,US,en,movie,4th Man Out,2015,"Comedy,Drama",6.7,9163,0.0
Man are the Bait,GB,en,tvSeries,Chelovek-primanka,2014,Action,4.0,6,0.0
Friday Download: The Movie,GB,en,movie,Friday Download: The Movie,2015,Family,5.4,116,0.0
Daughter of God,US,en,movie,Exposed,2016,"Crime,Drama,Mystery",4.3,13150,0.0
Lake Fear,US,en,movie,Lake Fear,2014,"Comedy,Horror",4.4,1807,0.0
Mysterious Joker,US,en,tvSeries,Mysterious Joker,2014,"Adventure,Animation,Comedy",7.2,34,0.0
The Wristwatch,US,en,movie,In God's Time,2017,Drama,4.2,78,0.0
Disorder,US,en,movie,Disorder,2015,"Drama,Thriller",6.2,5418,0.0
Hollywood Adventures,US,en,movie,Hollywood Adventures,2015,"Action,Adventure,Comedy",5.0,534,0.0
The Lego Batman Movie,US,en,movie,The Lego Batman Movie,2017,"Action,Animation,Comedy",7.3,126168,0.0
Paradise In Heart,US,en,movie,Paradise in Heart,2014,"Action,Drama,Romance",6.9,54,0.0
At the Frontera,US,en,movie,At the Frontera,2018,"Action,Drama,Thriller",6.6,8,0.0
Captain Marvel,US,en,movie,Captain Marvel,2019,"Action,Adventure,Sci-Fi",6.9,412003,0.0
Avengers: Infinity War,US,en,movie,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.5,775034,0.0
Avengers: Endgame,US,en,movie,Avengers: Endgame,2019,"Action,Adventure,Drama",8.4,718954,0.0
All Downhill from Here,US,en,tvSeries,All Downhill from Here,2015,Comedy,7.8,23,0.0
Give Me Liberty,US,en,movie,Give Me Liberty,2019,"Comedy,Drama",6.7,1234,0.0
The Passing,GB,en,movie,The Passing,2015,Drama,5.9,293,0.0
Chainsaw Maidens from Hell,US,en,movie,Chainsaw Maidens from Hell,2016,"Comedy,Horror",6.0,30,0.0
Chimera,US,en,movie,Chimera Strain,2018,"Drama,Sci-Fi,Thriller",5.4,1954,0.0
Cobain: Montage of Heck,US,en,movie,Cobain: Montage of Heck,2015,"Animation,Biography,Documentary",7.5,27234,0.0
If You Knew Me,US,en,movie,Yennai Arindhaal,2015,"Action,Thriller",7.3,7696,0.0
The Witch,US,en,movie,The Witch,2015,"Drama,Horror,Mystery",6.9,182977,0.0
Strike,GB,en,tvSeries,C.B. Strike,2017,"Crime,Drama,Mystery",7.9,7686,0.0
The Price,US,en,movie,The Price,2015,Thriller,5.2,60,0.0
Shade: The series,GB,en,tvSeries,Shade,2014,Thriller,8.2,11,0.0
QT8: The First Eight,US,en,movie,QT8: The First Eight,2019,Documentary,7.3,1541,0.0
Eddie - Strongman,GB,en,movie,Eddie - Strongman,2015,Documentary,7.5,946,0.0
The Phoenix Incident,US,en,movie,The Phoenix Incident,2015,"Mystery,Sci-Fi,Thriller",5.0,1404,0.0
The Last Black Man in San Francisco,US,en,movie,The Last Black Man in San Francisco,2019,Drama,7.3,10869,0.0
The Shadow Man,US,en,movie,The Shadow Man,2017,"Drama,Horror,Thriller",3.3,317,0.0
Animals,GB,en,movie,Animals,2019,"Comedy,Drama",6.1,1271,0.0
Street Food Around the World,US,en,tvSeries,Street Food Around the World,2012,"Documentary,Reality-TV",7.2,98,0.0
Tank 432,GB,en,movie,Tank 432,2015,"Action,Horror,Mystery",3.2,1760,0.0
Maze Runner: The Death Cure,US,en,movie,Maze Runner: The Death Cure,2018,"Action,Adventure,Sci-Fi",6.2,104101,0.0
The Prodigy,US,en,movie,The Prodigy,2019,"Horror,Thriller",5.8,20889,0.0
Slay Bells,US,en,movie,Mother Krampus 2: Slay Ride,2018,Horror,3.4,155,0.0
Naughty List,US,en,movie,Mother Krampus 2: Slay Ride,2018,Horror,3.4,155,0.0
Christopher Robin,US,en,movie,Christopher Robin,2018,"Comedy,Drama,Family",7.3,64022,0.0
Winnie the Pooh,US,en,movie,Christopher Robin,2018,"Comedy,Drama,Family",7.3,64022,0.0
Someone I Used to Know,US,en,movie,Someone I Used to Know,2016,"Comedy,Drama,Romance",8.2,19,0.0
The Lamb,US,en,movie,The Star,2017,"Adventure,Animation,Comedy",6.2,6068,0.0
Spider-Man: Into the Spider-Verse,US,en,movie,Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation",8.4,317942,0.0
The OA: Part II,US,en,tvSeries,The OA,2016,"Drama,Fantasy,Mystery",7.9,84520,0.0
Fly Away Solo,US,en,movie,Masaan,2015,Drama,8.1,21493,0.0
The Keeper,US,en,movie,The Keeper,2018,"Biography,Drama,Romance",7.2,2623,0.0
Untitled Yuppie Fear Thriller,US,en,movie,Fatal Pulse,2018,Thriller,5.0,132,0.0
The Gandhi Murder,GB,en,movie,The Gandhi Murder,2019,"Drama,History",6.6,90,0.0
Red Dog,US,en,movie,Red Dog,2017,"Action,Drama,History",6.3,39,0.0
MFKZ,GB,en,movie,MFKZ,2017,"Action,Animation,Comedy",6.7,2903,0.0
MFKZ,US,en,movie,MFKZ,2017,"Action,Animation,Comedy",6.7,2903,0.0
Air Strike,US,en,movie,Air Strike,2018,"Action,Adventure,Drama",3.2,3285,0.0
Pitch Perfect 3,US,en,movie,Pitch Perfect 3,2017,"Comedy,Music",5.8,52211,0.0
Maleficent: Mistress of Evil,US,en,movie,Maleficent: Mistress of Evil,2019,"Adventure,Family,Fantasy",6.6,66602,0.0
The Best of Enemies,US,en,movie,The Best of Enemies,2019,"Biography,Drama,History",7.1,7343,0.0
Blackbear,US,en,movie,Blackbear,2019,"Drama,Sport",5.1,605,0.0
Scarecrowd,US,en,movie,Scarecrowd,2015,Horror,6.6,38,0.0
Play with Me,US,en,movie,Play with Me,2016,Horror,2.3,9,0.0
Mission: Impossible VI,US,en,movie,Mission: Impossible - Fallout,2018,"Action,Adventure,Thriller",7.7,272339,0.0
The Children,US,en,movie,The Curse of la Llorona,2019,"Horror,Mystery,Thriller",5.3,32832,0.0
The Curse of la Llorona,US,en,movie,The Curse of la Llorona,2019,"Horror,Mystery,Thriller",5.3,32832,0.0
Friends with Melissa,US,en,tvSeries,Nobodies,2017,Comedy,5.5,795,0.0
Amazing Grace,US,en,movie,Amazing Grace,2018,"Documentary,Music",7.5,3066,0.0
Iron Protector,US,en,movie,Iron Protector,2016,Action,5.6,587,0.0
Split,US,en,movie,Split,2016,"Horror,Thriller",7.3,401171,0.0
The Kid,US,en,movie,The Kid,2019,"Biography,Drama,Western",5.9,5848,0.0
Compulsion,GB,en,movie,Compulsion,2016,"Drama,Fantasy,Horror",3.7,1159,0.0
The Red Sea Diving Resort,US,en,movie,The Red Sea Diving Resort,2019,"Drama,History,Thriller",6.5,19895,0.0
Dunkirk,US,en,movie,Dunkirk,2017,"Action,Drama,History",7.9,517039,0.0
Dunkirk,GB,en,movie,Dunkirk,2017,"Action,Drama,History",7.9,517039,0.0
My Grandmother Fanny Kaplan,US,en,movie,My Grandmother Fanny Kaplan,2016,"Biography,Drama,History",6.3,105,0.0
"Three Billboards Outside Ebbing, Missouri",GB,en,movie,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy,Crime,Drama",8.2,398955,0.0
Drunk Parents,US,en,movie,Drunk Parents,2019,Comedy,3.8,4501,0.0
Not by the Book,GB,en,movie,Not by the Book,2019,"Comedy,Crime,Thriller",7.7,17,0.0
Get Out,US,en,movie,Get Out,2017,"Horror,Mystery,Thriller",7.7,459794,0.0
Sicario 2: Soldado,GB,en,movie,Sicario: Day of the Soldado,2018,"Action,Adventure,Crime",7.1,115204,0.0
Tom Clancy's Jack Ryan,GB,en,tvSeries,Tom Clancy's Jack Ryan,2018,"Action,Drama,Thriller",8.1,79790,0.0
Tom Clancy's Jack Ryan,US,en,tvSeries,Tom Clancy's Jack Ryan,2018,"Action,Drama,Thriller",8.1,79790,0.0
Hostile Border,US,en,movie,Hostile Border,2015,"Drama,Thriller",5.4,525,0.0
I'll Find You,US,en,movie,I'll Find You,2019,"Drama,Music,Romance",6.8,51,0.0
Cezanne et Moi,US,en,movie,Cezanne et Moi,2016,"Biography,Drama",6.0,975,0.0
Cezanne and I,GB,en,movie,Cezanne et Moi,2016,"Biography,Drama",6.0,975,0.0
Strangers at the Door,US,en,movie,Strangers at the Door,2017,"Action,Crime,Drama",5.3,63,0.0
Wild Rose,GB,en,movie,Wild Rose,2018,"Comedy,Drama,Music",7.2,8193,0.0
The Library Suicides,GB,en,movie,The Library Suicides,2016,Thriller,5.6,114,0.0
Wild Nights with Emily,US,en,movie,Wild Nights with Emily,2018,"Comedy,History",6.0,662,0.0
Operation Finale,US,en,movie,Operation Finale,2018,"Biography,Drama,History",6.6,28105,0.0
F**Kin' Actors,US,en,tvSeries,F**Kin' Actors,2016,Comedy,7.2,19,0.0
Supersonic,GB,en,movie,Oasis: Supersonic,2016,"Biography,Documentary,Music",7.9,9631,0.0
Ederlezi Rising,US,en,movie,A.I. Rising,2018,"Drama,Romance,Sci-Fi",5.7,8099,0.0
Chappaquiddick,US,en,movie,Chappaquiddick,2017,"Drama,History,Thriller",6.5,11073,0.0
Living a Lie,GB,en,tvSeries,Living a Lie,2016,Drama,7.0,28,0.0
Fairytale of New York,US,en,movie,Fairytale of New York,2017,"Comedy,Romance",5.1,63,0.0
The Hunger,US,en,movie,The Hunger,1984,Drama,8.2,185,0.0
Close,GB,en,movie,Close,2019,"Action,Drama,Thriller",5.7,19085,0.0
The Legend of Jack Logan,US,en,movie,The Legend of Jack Logan,2016,Horror,3.1,24,0.0
Forgotten in California,US,en,movie,Forgotten in California,2016,Documentary,8.1,17,0.0
The Paternal Bond: Barbary Macaques,GB,en,movie,The Paternal Bond: Barbary Macaques,2015,Documentary,8.9,9,0.0
Heartbeat,US,en,movie,Heartbeat,2017,"Action,Crime,Drama",4.0,450,0.0
Official Secrets,GB,en,movie,Official Secrets,2019,"Biography,Crime,Drama",7.3,20253,0.0
Zero Days,US,en,movie,Zero Days,2016,Documentary,7.8,8477,0.0
Rory's Way,GB,en,movie,The Etruscan Smile,2018,Drama,6.7,847,0.0
JT LeRoy,US,en,movie,JT LeRoy,2018,"Biography,Drama",5.4,1502,0.0
Deadpool 2,US,en,movie,Deadpool 2,2018,"Action,Adventure,Comedy",7.7,450511,0.0
Signature Work,US,en,movie,Signature Work,2016,"Crime,Thriller",6.2,11,0.0
The Brave,US,en,movie,The Brave,2019,"Action,Crime,Thriller",5.0,539,0.0
APB,US,en,tvSeries,APB,2016,"Crime,Drama",6.9,5630,0.0
Egomaniac,GB,en,movie,Egomaniac,2016,"Comedy,Horror",5.4,59,0.0
When Larry Meets Mary,US,en,movie,When Larry Meets Mary,2016,"Comedy,Romance",4.7,93,0.0
Clemency,US,en,movie,Clemency,2019,Drama,6.4,1644,0.0
The Promise,US,en,tvSeries,The Promise,1978,"Drama,Thriller",6.9,57,0.0
The Shape of Water,US,en,movie,The Shape of Water,2017,"Adventure,Drama,Fantasy",7.3,350001,0.0
Kumamiko - Girl Meets Bear,GB,en,tvSeries,Kumamiko - Girl Meets Bear,2016,"Animation,Comedy",5.3,56,0.0
Love and Other Cults,GB,en,movie,Love and Other Cults,2017,"Comedy,Drama",6.0,222,0.0
Daddy's Home 2,US,en,movie,Daddy's Home 2,2017,Comedy,6.0,57786,0.0
A Cambodian Spring,GB,en,movie,A Cambodian Spring,2016,Documentary,7.6,150,0.0
Electric Dreams,GB,en,tvSeries,Electric Dreams,2017,Sci-Fi,7.3,12065,0.0
Philip K. Dick's Electric Dreams,GB,en,tvSeries,Electric Dreams,2017,Sci-Fi,7.3,12065,0.0
Electric Dreams,US,en,tvSeries,Electric Dreams,2017,Sci-Fi,7.3,12065,0.0
Cold Pursuit,GB,en,movie,Cold Pursuit,2019,"Action,Crime,Drama",6.2,51614,0.0
Spies in Disguise,US,en,movie,Spies in Disguise,2019,"Adventure,Animation,Comedy",6.8,23055,0.0
Monkey King,US,en,movie,Monkey King,2016,"Comedy,Drama",4.5,126,0.0
Walk. Ride. Rodeo.,US,en,movie,Walk. Ride. Rodeo.,2019,"Biography,Drama",6.4,1606,0.0
Sunset,US,en,movie,Sunset,2018,"Drama,Mystery",6.4,3273,0.0
Confession of Murder,US,en,movie,Memoirs of a Murderer,2017,"Drama,Mystery,Thriller",6.8,1496,0.0
Pokemon,US,en,movie,Pokémon Detective Pikachu,2019,"Adventure,Comedy,Family",6.6,125167,0.0
