title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
What Happened to Kerouac?,US,en,movie,What Happened to Kerouac?,1986,"Biography,Documentary,History",7.1,278,0.0
9½ Weeks,US,en,movie,9½ Weeks,1986,"Drama,Romance",6.0,36204,0.0
The Wonderful Wizard of Oz,US,en,tvSeries,The Wonderful Wizard of Oz,1986,"Adventure,Animation,Family",7.7,223,0.0
Beetlejuice,US,en,movie,Beetlejuice,1988,"Comedy,Fantasy",7.5,248000,0.0
Hello Bombay!,GB,en,movie,Hello Bombay!,1988,"Crime,Drama",8.0,8220,0.0
Chip 'n' Dale Rescue Rangers,US,en,tvSeries,Chip 'n' Dale Rescue Rangers,1988,"Adventure,Animation,Comedy",7.6,16468,0.0
Live! with Kelly,US,en,tvSeries,Live with Kelly and Ryan,1983,Talk-Show,4.6,1682,0.0
Live with Kelly and Ryan,US,en,tvSeries,Live with Kelly and Ryan,1983,Talk-Show,4.6,1682,0.0
Crackdown,US,en,movie,Crackdown,1991,"Action,Crime,Drama",6.1,37,0.0
Who Shot Pat?,US,en,movie,Who Shot Pat?,1989,Comedy,4.4,342,0.0
Wild at Heart,GB,en,movie,Wild at Heart,1990,"Comedy,Crime,Drama",7.2,79207,0.0
Tropical Heat,US,en,tvSeries,Tropical Heat,1991,"Action,Drama",7.9,1532,0.0
And the Wind Returneth,US,en,movie,And the Wind Returneth,1992,"Biography,Drama",6.1,29,0.0
The Silence of the Lambs,US,en,movie,The Silence of the Lambs,1991,"Crime,Drama,Thriller",8.6,1213875,0.0
The Great Day on the Beach,US,en,movie,The Great Day on the Beach,1991,Family,6.8,549,0.0
Terminator 2: Judgment Day,US,en,movie,Terminator 2: Judgment Day,1991,"Action,Sci-Fi",8.5,963089,0.0
Whore,US,en,movie,Whore,1991,Drama,5.6,3362,0.0
Beyond the Law,US,en,movie,Beyond the Law,1993,"Crime,Drama,Thriller",6.6,6033,0.0
Black to the Promised Land,US,en,movie,Black to the Promised Land,1992,Documentary,7.3,19,0.0
Dead Alive,US,en,movie,Dead Alive,1992,"Comedy,Horror",7.5,89340,0.0
